time,equ_status,equ_status_1,H2_volume,CO_volume,CO2_volume,CH4_volume,C2H4_volume,C2H2_volume,C2H6_volume,total_hydrocarbons
2015-07-31,1,2,13.5,311.0,2085.0,6.4,1.8,0.0,0.93,9.13
2015-07-30,1,2,14.2,315.0,2117.0,6.51,2.14,0.0,0.95,9.6
2015-07-29,1,2,13.1,314.0,2232.0,5.67,1.91,0.0,0.89,8.47
2015-07-28,1,2,12.6,317.0,2069.0,6.29,1.89,0.0,0.83,9.01
2015-07-27,1,2,13.3,345.0,2230.0,6.34,1.81,0.0,0.81,8.96
2015-07-26,1,2,15.1,339.0,2204.0,6.6,2.08,0.0,0.98,9.66
2015-07-25,1,2,14.2,319.0,2208.0,5.78,1.9,0.0,0.95,8.63
2015-07-24,1,2,13.7,332.0,2161.0,5.48,2.1,0.0,0.82,8.4
2015-07-23,1,2,13.7,332.0,2161.0,5.48,2.1,0.0,0.82,8.4
2015-07-22,1,2,15.0,343.0,2137.0,6.54,2.14,0.0,0.9,9.58
2015-07-21,1,2,14.2,319.0,2208.0,5.78,1.9,0.0,0.95,8.63
2015-07-20,1,2,13.6,339.0,2224.0,5.86,2.15,0.0,0.9,8.91
2015-07-19,1,2,13.8,344.0,2061.0,6.24,1.94,0.0,0.94,9.12
2015-07-18,1,2,15.3,324.0,2130.0,6.47,2.14,0.0,0.82,9.43
2015-07-17,1,2,13.8,319.0,2247.0,5.91,1.81,0.0,0.85,8.57
2015-07-16,1,2,12.7,339.0,2166.0,6.28,2.06,0.0,0.93,9.27
2015-07-15,1,2,13.4,323.0,2197.0,6.28,1.9,0.0,0.81,8.99
2015-07-14,1,2,13.5,329.0,2148.0,6.16,2.12,0.0,0.93,9.21
2015-07-13,1,2,12.6,312.0,2216.0,5.69,1.85,0.0,0.85,8.39
2015-07-12,1,2,14.7,315.0,2156.0,6.57,2.11,0.0,0.94,9.62
2015-07-11,1,2,12.7,311.0,2168.0,6.28,1.91,0.0,0.81,9.0
2015-07-10,1,2,13.0,339.0,2149.0,6.25,1.93,0.0,0.95,9.13
2015-07-09,1,2,14.6,340.0,2073.0,5.95,2.14,0.0,0.81,8.9
2015-07-08,1,2,13.9,319.0,2144.0,5.66,1.92,0.0,0.88,8.46
2015-07-07,1,2,12.9,331.0,2081.0,6.19,2.15,0.0,0.81,9.15
2015-07-06,1,2,15.0,324.0,2121.0,5.98,2.11,0.0,0.86,8.95
2015-07-05,1,2,15.3,342.0,2203.0,5.67,1.91,0.0,0.89,8.47
2015-07-04,1,2,13.1,345.0,2114.0,6.38,1.9,0.0,0.86,9.14
2015-07-03,1,2,13.5,347.0,2180.0,5.98,2.1,0.0,0.87,8.95
2015-07-02,1,2,13.5,318.0,2073.0,6.05,1.92,0.0,0.9,8.87
2015-07-01,1,2,13.0,345.0,2164.0,6.01,2.04,0.0,0.82,8.87
2015-06-30,1,2,14.3,327.0,2060.0,5.65,1.97,0.0,0.94,8.56
2015-06-29,1,2,15.0,343.0,2137.0,6.54,2.14,0.0,0.9,9.58
2015-06-28,1,2,14.4,322.0,2208.0,6.26,1.93,0.0,0.96,9.15
2015-06-27,1,2,14.6,331.0,2173.0,5.66,1.92,0.0,0.88,8.46
2015-06-26,1,2,13.8,310.0,2130.0,5.63,1.99,0.0,0.92,8.54
2015-06-25,1,2,12.9,322.0,2127.0,5.47,1.9,0.0,0.84,8.21
2015-06-24,1,2,15.0,317.0,2125.0,5.49,2.02,0.0,0.84,8.35
2015-06-23,1,2,12.9,326.0,2251.0,5.7,1.88,0.0,0.93,8.51
2015-06-22,1,2,13.3,317.0,2231.0,5.94,2.14,0.0,0.98,9.06
2015-06-21,1,2,15.0,319.0,2051.0,6.19,2.15,0.0,0.99,9.33
2015-06-20,1,2,15.1,333.0,2189.0,5.64,1.98,0.0,0.93,8.55
2015-06-19,1,2,14.3,343.0,2192.0,5.69,1.89,0.0,0.92,8.5
2015-06-18,1,2,12.7,332.0,2142.0,6.27,2.02,0.0,0.88,9.17
2015-06-17,1,2,13.8,344.0,2115.0,5.87,1.89,0.0,0.87,8.63
2015-06-16,1,2,15.1,342.0,2089.0,5.92,2.2,0.0,0.86,8.98
2015-06-15,1,2,14.9,315.0,2107.0,5.95,2.17,0.0,0.9,9.02
2015-06-14,1,2,14.4,312.0,2043.0,6.56,2.17,0.0,0.81,9.54
2015-06-13,1,2,15.0,319.0,2052.0,6.59,2.06,0.0,0.88,9.53
2015-06-12,1,2,13.6,332.0,2211.0,6.31,1.84,0.0,0.96,9.11
2015-06-11,1,2,13.0,339.0,2149.0,6.25,1.93,0.0,0.95,9.13
2015-06-10,1,2,14.1,328.0,2212.0,6.53,2.2,0.0,0.95,9.68
2015-06-09,1,2,15.0,339.0,2090.0,5.65,1.97,0.0,0.95,8.57
2015-06-08,1,2,15.1,342.0,2089.0,5.92,2.2,0.0,0.86,8.98
2015-06-07,1,2,14.6,346.0,2142.0,6.54,2.18,0.0,0.98,9.7
2015-06-06,1,2,15.1,342.0,2089.0,5.92,2.2,0.0,0.86,8.98
2015-06-05,1,2,15.1,333.0,2189.0,5.64,1.98,0.0,0.93,8.55
2015-06-04,1,2,14.3,343.0,2192.0,5.69,1.89,0.0,0.92,8.5
2015-06-03,1,2,13.7,335.0,2047.0,6.21,2.01,0.0,0.98,9.2
2015-06-02,1,2,14.6,321.0,2057.0,6.59,2.1,0.0,0.95,9.64
2015-06-01,1,2,13.3,317.0,2231.0,5.94,2.14,0.0,0.98,9.06
2015-05-31,1,2,13.9,325.0,2213.0,6.26,1.97,0.0,0.86,9.09
2015-05-30,1,2,13.8,344.0,2061.0,6.24,1.94,0.0,0.94,9.12
2015-05-29,1,2,14.3,313.0,2092.0,5.97,2.11,0.0,0.85,8.93
2015-05-28,1,2,14.2,319.0,2209.0,5.99,2.1,0.0,0.87,8.96
2015-05-27,1,2,14.2,326.0,2211.0,6.3,2.14,0.0,0.87,9.31
2015-05-26,1,2,14.7,340.0,2242.0,6.53,2.2,0.0,0.96,9.69
2015-05-25,1,2,13.2,313.0,2184.0,6.25,1.97,0.0,0.86,9.08
2015-05-24,1,2,14.5,337.0,2074.0,5.68,1.9,0.0,0.9,8.48
2015-05-23,1,2,14.3,331.0,2162.0,6.17,2.09,0.0,0.82,9.08
2015-05-22,1,2,15.0,327.0,2223.0,6.5,1.82,0.0,0.92,9.24
2015-05-21,1,2,12.6,343.0,2100.0,5.41,2.03,0.0,0.92,8.36
